# tracer: function
#
# entries-in-buffer/entries-written: 1135/1135   #P:4
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
     kworker/2:2-61    [002] .... 65834.666750: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.676356: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.676360: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.676453: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.676474: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.676698: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.676793: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.676794: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.686319: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.686322: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.686416: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.686446: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.686636: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.686750: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.686752: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.694060: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.694063: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.694157: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.694187: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.694356: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.694457: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.694458: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.703929: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.703932: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.704024: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.704046: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.704226: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.704343: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.704344: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.713948: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.713952: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.714046: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.714078: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.714253: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.714358: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.714359: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.726143: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.726146: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.726240: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.726269: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.726446: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.726561: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.726562: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.735135: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.735138: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.735231: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.735263: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.735423: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.735529: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.735557: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.745371: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.745374: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.745474: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.745584: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.745585: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.752952: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.752956: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.753053: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.753123: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.753123: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.762939: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.762942: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.763039: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.763112: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.763113: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.772915: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.772919: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.773015: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.773086: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.773087: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.784955: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.784958: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.785054: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.785126: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.785126: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.794908: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.794911: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.795006: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.795078: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.795079: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.805349: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.805353: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.805450: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.805552: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.805553: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.812948: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.812952: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.813047: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.813117: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.813118: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.053272: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.053276: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.053404: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.053459: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.053459: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.063445: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.063449: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.063535: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.063614: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.063614: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.073696: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.073699: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.073793: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.073850: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.074015: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.074083: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.074084: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.086080: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.086083: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.086176: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.086208: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.086410: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.086497: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.086498: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.096034: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.096037: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.096131: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.096162: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.096362: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.096474: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.096475: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.106039: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.106042: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.106136: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.106177: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.106361: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.106453: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.106454: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.113761: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.113764: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.113859: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.113916: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.114059: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.114169: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.114170: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.123754: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.123757: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.123851: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.123870: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.124049: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.124157: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.124158: itouch_mei_cl_send <-mei_itouch_write_message
